Bridge Site ID,Longitude,Latitude,District,Country
006f100000cPI5w,29.647273,-2.266448,all,Rwanda
006f100000d7Q60,29.616203,-1.446965,all,Rwanda
006f100000d7iRO,29.37139,-1.87014,all,Rwanda
006f100000bMJxu,30.15833,-1.61168,all,Rwanda
006f100000a86Hm,29.94694,-1.74278,all,Rwanda
006f100000d6wJw,29.378611,-1.9788,all,Rwanda
006f100000d75ur,29.53586,-2.53163167,all,Rwanda
006f100000d6wHl,29.88095,-1.58122,all,Rwanda
006f100000a86Dr,29.356425,-2.15350833,all,Rwanda
006f100000d88Kr,29.168585,-2.404371,all,Rwanda
006f100000a86H9,29.43916,-2.7221,all,Rwanda
006f100000d7jEa,29.41315,-2.15214,all,Rwanda
006f100000d88Dl,29.256019,-2.221268,all,Rwanda
006f100000aATjC,30.0825,-1.78583333,all,Rwanda
006f100000d1fUD,29.40253,-2.23732,all,Rwanda
006f100000d7azK,29.57416,-1.77412,all,Rwanda
006f100000d7b6G,29.247239,-2.322038,all,Rwanda
006f100000d7b6B,29.239786,-2.311176,all,Rwanda
006f100000a86Fu,29.214397,-2.313353,all,Rwanda
006f100000a86FQ,29.577879,-2.428413,all,Rwanda
006f100000aATjC,30.0825,-1.78583333,all,Rwanda
0063Z00000hvy75,29.792433,-1.971735,all,Rwanda
006f100000d7Pr1,29.5765,-2.00323,all,Rwanda
006f100000d7ihb,29.80387,-1.62681,all,Rwanda
0063Z00000huHAM,30.00694444,-1.947858,all,Rwanda
006f100000d6wNo,29.42249833,-2.37023167,all,Rwanda
006f100000d6krY,29.42907333,-2.42504833,all,Rwanda
006f100000a86FV,29.459825,-2.337289,all,Rwanda
006f100000a86DA,29.66805556,-1.688888888,all,Rwanda
006f100000eekhA,29.86075,-2.10672,all,Rwanda
006f100000d7hGd,29.50868667,-2.61261667,all,Rwanda
006f100000d6yLW,29.46831,-1.68216,all,Rwanda
006f100000d6kqz,29.51707,-1.67984,all,Rwanda
006f100000a86Ds,29.52184,-2.14811,all,Rwanda
006f100000d7EMI,29.67259,-1.545719,all,Rwanda
006f100000d7ayR,29.54759,-1.82053,all,Rwanda
006f100000bMK0P,30.20941,-1.7012,all,Rwanda
006f100000a86Dp,29.4401,-2.207465,all,Rwanda
006f100000d1fTP,29.44008,-2.20755,all,Rwanda
