Bridge Site ID,Latitude,Longitude,Country,Region
1013575,-2.49883,29.927,Rwanda,Gisagara
1013576,-2.51384,29.88201,Rwanda,Gisagara
1013577,-2.52882,29.82786,Rwanda,Gisagara
1013578,-2.4855,29.84336,Rwanda,Gisagara
1013579,-2.49034,29.87577,Rwanda,Gisagara
1013580,-2.50934,29.90858,Rwanda,Gisagara
1013725,-2.59149,29.75931,Rwanda,Gisagara
1013726,-2.59415,29.77829,Rwanda,Gisagara
1013727,-2.64711,29.80976,Rwanda,Gisagara
1013728,-2.65762,29.81981,Rwanda,Gisagara
1013729,-2.56425,29.78521,Rwanda,Gisagara
1013730,-2.57166,29.78138,Rwanda,Gisagara
1013731,-2.55904,29.83055,Rwanda,Gisagara
1013732,-2.52261,29.86105,Rwanda,Gisagara
1013733,-2.51012,29.86378,Rwanda,Gisagara
1013734,-2.4919,29.85804,Rwanda,Gisagara
1013804,-2.7242,29.75411,Rwanda,Gisagara
1013807,-2.74102,29.85624,Rwanda,Gisagara
1013808,-2.77338,29.75503,Rwanda,Gisagara
1013809,-2.78075,29.74108,Rwanda,Gisagara
1013810,-2.7234,29.76373,Rwanda,Gisagara
1013811,-2.70198,29.81289,Rwanda,Gisagara
1013812,-2.70192,29.76218,Rwanda,Gisagara
1013813,-2.7045,29.75324,Rwanda,Gisagara
1013912,-2.57105,29.88974,Rwanda,Gisagara
1013913,-2.59858,29.81743,Rwanda,Gisagara
1013914,-2.60413,29.80698,Rwanda,Gisagara
1013915,-2.59392,29.8922,Rwanda,Gisagara
1013919,-2.70557,29.89536,Rwanda,Gisagara
1013920,-2.68141,29.87402,Rwanda,Gisagara
1013921,-2.57408,29.87933,Rwanda,Gisagara
1013922,-2.69786,29.90142,Rwanda,Gisagara
1013923,-2.62646,29.88709,Rwanda,Gisagara
1007376,-2.62627,30.6261,Rwanda,Huye
1007377,-2.63101,29.63617,Rwanda,Huye
1007381,-2.68664,29.75706,Rwanda,Huye
1013331,-2.4851,29.80904,Rwanda,Huye
1013332,-2.46826,29.77101,Rwanda,Huye
1013333,-2.3965,29.79099,Rwanda,Huye
1013334,-2.43844,29.7937,Rwanda,Huye
1013335,-2.4812,29.74129,Rwanda,Huye
1013336,-2.48378,29.68794,Rwanda,Huye
1013337,-2.49432,29.73509,Rwanda,Huye
1013338,-2.44354,29.7827,Rwanda,Huye
1013340,-2.38471,29.76592,Rwanda,Huye
1013502,-2.48655,29.65746,Rwanda,Huye
1013503,-2.51947,29.6697,Rwanda,Huye
1013504,-2.51052,29.70255,Rwanda,Huye
1013505,-2.63019,29.71337,Rwanda,Huye
1013506,-2.61005,29.69215,Rwanda,Huye
1013507,-2.63352,29.62583,Rwanda,Huye
1013508,-2.66388,29.69276,Rwanda,Huye
1013509,-2.58804,29.67228,Rwanda,Huye
1013510,-2.61104,29.65406,Rwanda,Huye
1007384,-1.972033,29.84578,Rwanda,Kamonyi
1014274,-2.06966,29.84335,Rwanda,Kamonyi
1014275,-2.05318,29.86879,Rwanda,Kamonyi
1014276,-2.03922,29.84801,Rwanda,Kamonyi
1014277,-2.03693,29.83341,Rwanda,Kamonyi
1014278,-2.02057,29.80686,Rwanda,Kamonyi
1014279,-2.05153,29.83695,Rwanda,Kamonyi
1014280,-2.0264,29.85626,Rwanda,Kamonyi
1014281,-2.08084,29.91191,Rwanda,Kamonyi
1014284,-2.08488,29.81828,Rwanda,Kamonyi
1014285,-2.05255,29.89237,Rwanda,Kamonyi
1014286,-2.065,29.91408,Rwanda,Kamonyi
1014287,-2.05616,29.90943,Rwanda,Kamonyi
1014291,-2.06986,29.86084,Rwanda,Kamonyi
1014294,-2.10176,29.84282,Rwanda,Kamonyi
1014295,-2.06614,29.82734,Rwanda,Kamonyi
1014296,-2.08032,29.822,Rwanda,Kamonyi
1014297,-2.07748,29.90302,Rwanda,Kamonyi
1014298,-2.08375,29.9012,Rwanda,Kamonyi
1014300,-2.07671,29.88236,Rwanda,Kamonyi
1014301,-2.11204,29.82869,Rwanda,Kamonyi
1014302,-2.10741,29.80042,Rwanda,Kamonyi
1014303,-2.09932,29.81269,Rwanda,Kamonyi
1014304,-2.07101,29.84978,Rwanda,Kamonyi
1014305,-2.08723,29.92198,Rwanda,Kamonyi
1014306,-2.08435,29.93516,Rwanda,Kamonyi
1014307,-2.08754,29.94017,Rwanda,Kamonyi
1014309,-1.87493,29.849092,Rwanda,Kamonyi
1014310,-1.873616,29.852021,Rwanda,Kamonyi
1014311,-1.856669,29.838176,Rwanda,Kamonyi
1014313,-2.056492,29.940225,Rwanda,Kamonyi
1014314,-1.985042,29.951748,Rwanda,Kamonyi
1014315,-1.951433,29.878932,Rwanda,Kamonyi
1014316,-2.005117,29.917354,Rwanda,Kamonyi
1014319,-1.883957,29.850548,Rwanda,Kamonyi
1014320,-1.915772,29.866533,Rwanda,Kamonyi
1014321,-1.939737,29.843622,Rwanda,Kamonyi
1014325,-1.980126,29.905502,Rwanda,Kamonyi
1014326,-2.001263,29.888983,Rwanda,Kamonyi
1014328,-1.984548,29.931428,Rwanda,Kamonyi
1014329,-1.872181,29.92942,Rwanda,Kamonyi
1014332,-1.964977,29.975556,Rwanda,Kamonyi
1014333,-1.960603,29.972412,Rwanda,Kamonyi
1014334,-1.969472,29.959591,Rwanda,Kamonyi
1014336,-1.931734,29.894059,Rwanda,Kamonyi
1014339,-2.126854,29.946166,Rwanda,Kamonyi
1014340,-2.362459,30.642264,Rwanda,Kamonyi
1014446,-2.14197,29.98984,Rwanda,Kamonyi
1014447,-2.09453,29.9943,Rwanda,Kamonyi
1014449,-2.05618,29.92399,Rwanda,Kamonyi
1014451,-2.05615,29.93258,Rwanda,Kamonyi
1007388,-2.14375,29.5181389,Rwanda,Karongi
1007389,-2.207465,29.4401,Rwanda,Karongi
1007390,-2.16372,29.35439,Rwanda,Karongi
1007392,-2.14811,29.52184,Rwanda,Karongi
1013543,-2.10774,29.42038,Rwanda,Karongi
1013544,-2.1067,29.42296,Rwanda,Karongi
1013545,-2.11248,29.42269,Rwanda,Karongi
1013546,-2.12787,29.43396,Rwanda,Karongi
1013548,-2.14404,29.43463,Rwanda,Karongi
1013549,-2.12657,29.45745,Rwanda,Karongi
1013550,-2.108,29.44281,Rwanda,Karongi
1013551,-2.11251,29.41945,Rwanda,Karongi
1013552,-2.11217,29.41652,Rwanda,Karongi
1013553,-2.11589,29.4245,Rwanda,Karongi
1013554,-2.09586,29.3907,Rwanda,Karongi
1013712,-2.12346,29.40763,Rwanda,Karongi
1013713,-2.14826,29.46926,Rwanda,Karongi
1013714,-2.0824,29.4245,Rwanda,Karongi
1013719,-2.18978,29.42021,Rwanda,Karongi
1013720,-2.18681,29.42727,Rwanda,Karongi
1013772,-2.18591,29.43513,Rwanda,Karongi
1013775,-2.16427,29.41347,Rwanda,Karongi
1013778,-2.08015,29.4189,Rwanda,Karongi
1013779,-2.0924,29.44834,Rwanda,Karongi
1013780,-2.08381,29.45655,Rwanda,Karongi
1013781,-2.13355,29.5053,Rwanda,Karongi
1013782,-2.13374,29.50472,Rwanda,Karongi
1013783,-2.1213,29.48652,Rwanda,Karongi
1013785,-2.11554,29.47351,Rwanda,Karongi
1013862,-2.19868,29.4931,Rwanda,Karongi
1013865,-2.06989,29.342,Rwanda,Karongi
1013868,-2.16278,29.28921,Rwanda,Karongi
1013869,-2.19785667,29.496655,Rwanda,Karongi
1013871,-2.14492,29.30137,Rwanda,Karongi
1013872,-2.11586,29.26521,Rwanda,Karongi
1013874,-2.12272,29.34027,Rwanda,Karongi
1013876,-2.18942,29.507745,Rwanda,Karongi
1013877,-2.19348,-29.49645,Rwanda,Karongi
1014030,-2.230115,29.47708167,Rwanda,Karongi
1014032,-2.2195333,29.459935,Rwanda,Karongi
1014033,-2.23241333,29.4756,Rwanda,Karongi
1014034,-2.2405167,29.491855,Rwanda,Karongi
